"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","datapipe_meta.attributes.date_modified"
"4738","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4097612bfaf144ed94e4","external-html",0,4903,"0.0-0.0","YfQUlh8N18yMzA6+xslO7XMVVLGSg1xPezVgh9drMIuKov2EDhUKjpHV5W5/oXRfrvuwCwAlg2EQIMSaEFc5AV9Fq5OE3I8r7ufSnQ2qYfKFs/yC8vsMSZ0G+fy3/0kIbdrwvCuUxkxTk74cleOJRue4YgjDVrdtTORLGYdWpGm6dSri0YikzoQkQPUeDcBcquLFdIwPDRmGNjwisz2mr+WkChYDHZcCCoErG+O7rKSEogoGQvR1RIc2l0wXBHHaml93zLmcCGPB2us188fIvUHU5ZqaqKc1U8Au2auJbgV7nP2VC7jMZ/vKWHlZbwkBwFT4FFw3cLY5H83ICtzV6Q==","69168b21477cff9ada6cb980","691d4097612bfaf144ed94e4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,NA
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4097612bfaf144ed94e4","fullscreen",1,16100,"0.0-1.0","YfQUlh8N18yMzA6+xslO7XMVVLGSg1xPezVgh9drMIuKov2EDhUKjpHV5W5/oXRfrvuwCwAlg2EQIMSaEFc5AV9Fq5OE3I8r7ufSnQ2qYfKFs/yC8vsMSZ0G+fy3/0kIbdrwvCuUxkxTk74cleOJRue4YgjDVrdtTORLGYdWpGm6dSri0YikzoQkQPUeDcBcquLFdIwPDRmGNjwisz2mr+WkChYDHZcCCoErG+O7rKSEogoGQvR1RIc2l0wXBHHaml93zLmcCGPB2us188fIvUHU5ZqaqKc1U8Au2auJbgV7nP2VC7jMZ/vKWHlZbwkBwFT4FFw3cLY5H83ICtzV6Q==","69168b21477cff9ada6cb980","691d4097612bfaf144ed94e4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,NA
"169141","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4097612bfaf144ed94e4","instructions",2,185243,"0.0-2.0","YfQUlh8N18yMzA6+xslO7XMVVLGSg1xPezVgh9drMIuKov2EDhUKjpHV5W5/oXRfrvuwCwAlg2EQIMSaEFc5AV9Fq5OE3I8r7ufSnQ2qYfKFs/yC8vsMSZ0G+fy3/0kIbdrwvCuUxkxTk74cleOJRue4YgjDVrdtTORLGYdWpGm6dSri0YikzoQkQPUeDcBcquLFdIwPDRmGNjwisz2mr+WkChYDHZcCCoErG+O7rKSEogoGQvR1RIc2l0wXBHHaml93zLmcCGPB2us188fIvUHU5ZqaqKc1U8Au2auJbgV7nP2VC7jMZ/vKWHlZbwkBwFT4FFw3cLY5H83ICtzV6Q==","69168b21477cff9ada6cb980","691d4097612bfaf144ed94e4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":50161},{""page_index"":1,""viewing_time"":30878},{""page_index"":2,""viewing_time"":19792},{""page_index"":3,""viewing_time"":27248},{""page_index"":4,""viewing_time"":10693},{""page_index"":5,""viewing_time"":20476},{""page_index"":6,""viewing_time"":9893}]","","","","",NA,NA
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4097612bfaf144ed94e4","html-keyboard-response",3,186254,"0.0-3.0","YfQUlh8N18yMzA6+xslO7XMVVLGSg1xPezVgh9drMIuKov2EDhUKjpHV5W5/oXRfrvuwCwAlg2EQIMSaEFc5AV9Fq5OE3I8r7ufSnQ2qYfKFs/yC8vsMSZ0G+fy3/0kIbdrwvCuUxkxTk74cleOJRue4YgjDVrdtTORLGYdWpGm6dSri0YikzoQkQPUeDcBcquLFdIwPDRmGNjwisz2mr+WkChYDHZcCCoErG+O7rKSEogoGQvR1RIc2l0wXBHHaml93zLmcCGPB2us188fIvUHU5ZqaqKc1U8Au2auJbgV7nP2VC7jMZ/vKWHlZbwkBwFT4FFw3cLY5H83ICtzV6Q==","69168b21477cff9ada6cb980","691d4097612bfaf144ed94e4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA
"44018","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4097612bfaf144ed94e4","survey-multi-choice",4,230274,"0.0-4.0","YfQUlh8N18yMzA6+xslO7XMVVLGSg1xPezVgh9drMIuKov2EDhUKjpHV5W5/oXRfrvuwCwAlg2EQIMSaEFc5AV9Fq5OE3I8r7ufSnQ2qYfKFs/yC8vsMSZ0G+fy3/0kIbdrwvCuUxkxTk74cleOJRue4YgjDVrdtTORLGYdWpGm6dSri0YikzoQkQPUeDcBcquLFdIwPDRmGNjwisz2mr+WkChYDHZcCCoErG+O7rKSEogoGQvR1RIc2l0wXBHHaml93zLmcCGPB2us188fIvUHU5ZqaqKc1U8Au2auJbgV7nP2VC7jMZ/vKWHlZbwkBwFT4FFw3cLY5H83ICtzV6Q==","69168b21477cff9ada6cb980","691d4097612bfaf144ed94e4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new round starts."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA
"2840","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4097612bfaf144ed94e4","html-button-response",5,233115,"0.0-5.0-1.0","YfQUlh8N18yMzA6+xslO7XMVVLGSg1xPezVgh9drMIuKov2EDhUKjpHV5W5/oXRfrvuwCwAlg2EQIMSaEFc5AV9Fq5OE3I8r7ufSnQ2qYfKFs/yC8vsMSZ0G+fy3/0kIbdrwvCuUxkxTk74cleOJRue4YgjDVrdtTORLGYdWpGm6dSri0YikzoQkQPUeDcBcquLFdIwPDRmGNjwisz2mr+WkChYDHZcCCoErG+O7rKSEogoGQvR1RIc2l0wXBHHaml93zLmcCGPB2us188fIvUHU5ZqaqKc1U8Au2auJbgV7nP2VC7jMZ/vKWHlZbwkBwFT4FFw3cLY5H83ICtzV6Q==","69168b21477cff9ada6cb980","691d4097612bfaf144ed94e4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,NA
"43319","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4097612bfaf144ed94e4","instructions",6,276435,"0.0-6.0-0.0","YfQUlh8N18yMzA6+xslO7XMVVLGSg1xPezVgh9drMIuKov2EDhUKjpHV5W5/oXRfrvuwCwAlg2EQIMSaEFc5AV9Fq5OE3I8r7ufSnQ2qYfKFs/yC8vsMSZ0G+fy3/0kIbdrwvCuUxkxTk74cleOJRue4YgjDVrdtTORLGYdWpGm6dSri0YikzoQkQPUeDcBcquLFdIwPDRmGNjwisz2mr+WkChYDHZcCCoErG+O7rKSEogoGQvR1RIc2l0wXBHHaml93zLmcCGPB2us188fIvUHU5ZqaqKc1U8Au2auJbgV7nP2VC7jMZ/vKWHlZbwkBwFT4FFw3cLY5H83ICtzV6Q==","69168b21477cff9ada6cb980","691d4097612bfaf144ed94e4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":4915},{""page_index"":1,""viewing_time"":2758},{""page_index"":0,""viewing_time"":17612},{""page_index"":1,""viewing_time"":2342},{""page_index"":2,""viewing_time"":7093},{""page_index"":3,""viewing_time"":2978},{""page_index"":4,""viewing_time"":2556},{""page_index"":5,""viewing_time"":1034},{""page_index"":6,""viewing_time"":2031}]","","","","",NA,NA
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4097612bfaf144ed94e4","html-keyboard-response",7,277452,"0.0-6.0-1.0","YfQUlh8N18yMzA6+xslO7XMVVLGSg1xPezVgh9drMIuKov2EDhUKjpHV5W5/oXRfrvuwCwAlg2EQIMSaEFc5AV9Fq5OE3I8r7ufSnQ2qYfKFs/yC8vsMSZ0G+fy3/0kIbdrwvCuUxkxTk74cleOJRue4YgjDVrdtTORLGYdWpGm6dSri0YikzoQkQPUeDcBcquLFdIwPDRmGNjwisz2mr+WkChYDHZcCCoErG+O7rKSEogoGQvR1RIc2l0wXBHHaml93zLmcCGPB2us188fIvUHU5ZqaqKc1U8Au2auJbgV7nP2VC7jMZ/vKWHlZbwkBwFT4FFw3cLY5H83ICtzV6Q==","69168b21477cff9ada6cb980","691d4097612bfaf144ed94e4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,NA
"34740","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=69168b21477cff9ada6cb980&SESSION_ID=691d4097612bfaf144ed94e4","survey-multi-choice",8,312195,"0.0-7.0-0.0","YfQUlh8N18yMzA6+xslO7XMVVLGSg1xPezVgh9drMIuKov2EDhUKjpHV5W5/oXRfrvuwCwAlg2EQIMSaEFc5AV9Fq5OE3I8r7ufSnQ2qYfKFs/yC8vsMSZ0G+fy3/0kIbdrwvCuUxkxTk74cleOJRue4YgjDVrdtTORLGYdWpGm6dSri0YikzoQkQPUeDcBcquLFdIwPDRmGNjwisz2mr+WkChYDHZcCCoErG+O7rKSEogoGQvR1RIc2l0wXBHHaml93zLmcCGPB2us188fIvUHU5ZqaqKc1U8Au2auJbgV7nP2VC7jMZ/vKWHlZbwkBwFT4FFw3cLY5H83ICtzV6Q==","69168b21477cff9ada6cb980","691d4097612bfaf144ed94e4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new round starts."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,NA
