"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","datapipe_meta.attributes.date_modified"
"167098","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba55498d92aeb756b445","external-html",0,167116,"0.0-0.0","qO1a4KvbZJ82WDN16hbUP/HKqVyAxMZUm9u45MC/R1ZZu1Am7rN7TrQZ1iGdaph/HCSGEslYVzp9G4E8O+3R6P0bx5UWo6YJ1JXQItVrsIHYUbLfAeGVDRUJz77X6ivwIcOak/24LYCsFDyw/v6SQuI27MSQRTS5/MXy9QwJ/hFKUiG0KM7jaMEskqdg+TtE4j6nb7PFNYyvTiKygFDwVR0/ZBkDTB1a0UKuUo+Q6ZjwhT8PXRrT3/CEt4+WEOgsUZBwJ7Ub/OBrfxZBXSsKOm2G0zCl+A9UqF9KIxHWS5NSiZYKHEMoQ9/j2SxtOaYdmcPRFHbPhkvQgbuDzQdfhg==","691f8ca61c6b4dcbb0aeb5f4","691fba55498d92aeb756b445","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,2025-11-21 01:14:34
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba55498d92aeb756b445","fullscreen",1,170651,"0.0-1.0","qO1a4KvbZJ82WDN16hbUP/HKqVyAxMZUm9u45MC/R1ZZu1Am7rN7TrQZ1iGdaph/HCSGEslYVzp9G4E8O+3R6P0bx5UWo6YJ1JXQItVrsIHYUbLfAeGVDRUJz77X6ivwIcOak/24LYCsFDyw/v6SQuI27MSQRTS5/MXy9QwJ/hFKUiG0KM7jaMEskqdg+TtE4j6nb7PFNYyvTiKygFDwVR0/ZBkDTB1a0UKuUo+Q6ZjwhT8PXRrT3/CEt4+WEOgsUZBwJ7Ub/OBrfxZBXSsKOm2G0zCl+A9UqF9KIxHWS5NSiZYKHEMoQ9/j2SxtOaYdmcPRFHbPhkvQgbuDzQdfhg==","691f8ca61c6b4dcbb0aeb5f4","691fba55498d92aeb756b445","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,2025-11-21 01:14:34
"153370.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba55498d92aeb756b445","instructions",2,324022,"0.0-2.0","qO1a4KvbZJ82WDN16hbUP/HKqVyAxMZUm9u45MC/R1ZZu1Am7rN7TrQZ1iGdaph/HCSGEslYVzp9G4E8O+3R6P0bx5UWo6YJ1JXQItVrsIHYUbLfAeGVDRUJz77X6ivwIcOak/24LYCsFDyw/v6SQuI27MSQRTS5/MXy9QwJ/hFKUiG0KM7jaMEskqdg+TtE4j6nb7PFNYyvTiKygFDwVR0/ZBkDTB1a0UKuUo+Q6ZjwhT8PXRrT3/CEt4+WEOgsUZBwJ7Ub/OBrfxZBXSsKOm2G0zCl+A9UqF9KIxHWS5NSiZYKHEMoQ9/j2SxtOaYdmcPRFHbPhkvQgbuDzQdfhg==","691f8ca61c6b4dcbb0aeb5f4","691fba55498d92aeb756b445","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":16856},{""page_index"":1,""viewing_time"":36869},{""page_index"":2,""viewing_time"":10734},{""page_index"":3,""viewing_time"":43343},{""page_index"":4,""viewing_time"":12970.09999999404},{""page_index"":5,""viewing_time"":20074},{""page_index"":6,""viewing_time"":12524}]","","","","",NA,2025-11-21 01:14:34
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba55498d92aeb756b445","html-keyboard-response",3,325023,"0.0-3.0","qO1a4KvbZJ82WDN16hbUP/HKqVyAxMZUm9u45MC/R1ZZu1Am7rN7TrQZ1iGdaph/HCSGEslYVzp9G4E8O+3R6P0bx5UWo6YJ1JXQItVrsIHYUbLfAeGVDRUJz77X6ivwIcOak/24LYCsFDyw/v6SQuI27MSQRTS5/MXy9QwJ/hFKUiG0KM7jaMEskqdg+TtE4j6nb7PFNYyvTiKygFDwVR0/ZBkDTB1a0UKuUo+Q6ZjwhT8PXRrT3/CEt4+WEOgsUZBwJ7Ub/OBrfxZBXSsKOm2G0zCl+A9UqF9KIxHWS5NSiZYKHEMoQ9/j2SxtOaYdmcPRFHbPhkvQgbuDzQdfhg==","691f8ca61c6b4dcbb0aeb5f4","691fba55498d92aeb756b445","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,2025-11-21 01:14:34
"124295.80000001192","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba55498d92aeb756b445","survey-multi-choice",4,449319,"0.0-4.0","qO1a4KvbZJ82WDN16hbUP/HKqVyAxMZUm9u45MC/R1ZZu1Am7rN7TrQZ1iGdaph/HCSGEslYVzp9G4E8O+3R6P0bx5UWo6YJ1JXQItVrsIHYUbLfAeGVDRUJz77X6ivwIcOak/24LYCsFDyw/v6SQuI27MSQRTS5/MXy9QwJ/hFKUiG0KM7jaMEskqdg+TtE4j6nb7PFNYyvTiKygFDwVR0/ZBkDTB1a0UKuUo+Q6ZjwhT8PXRrT3/CEt4+WEOgsUZBwJ7Ub/OBrfxZBXSsKOm2G0zCl+A9UqF9KIxHWS5NSiZYKHEMoQ9/j2SxtOaYdmcPRFHbPhkvQgbuDzQdfhg==","691f8ca61c6b4dcbb0aeb5f4","691fba55498d92aeb756b445","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""When a new round starts."",""Q2"":""The box weight changes across contests, but not across rounds within each contest."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,2025-11-21 01:14:34
"5085","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba55498d92aeb756b445","html-button-response",5,454405,"0.0-5.0-1.0","qO1a4KvbZJ82WDN16hbUP/HKqVyAxMZUm9u45MC/R1ZZu1Am7rN7TrQZ1iGdaph/HCSGEslYVzp9G4E8O+3R6P0bx5UWo6YJ1JXQItVrsIHYUbLfAeGVDRUJz77X6ivwIcOak/24LYCsFDyw/v6SQuI27MSQRTS5/MXy9QwJ/hFKUiG0KM7jaMEskqdg+TtE4j6nb7PFNYyvTiKygFDwVR0/ZBkDTB1a0UKuUo+Q6ZjwhT8PXRrT3/CEt4+WEOgsUZBwJ7Ub/OBrfxZBXSsKOm2G0zCl+A9UqF9KIxHWS5NSiZYKHEMoQ9/j2SxtOaYdmcPRFHbPhkvQgbuDzQdfhg==","691f8ca61c6b4dcbb0aeb5f4","691fba55498d92aeb756b445","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",1,2025-11-21 01:14:34
"154439.40000000596","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba55498d92aeb756b445","instructions",6,608844,"0.0-6.0-0.0","qO1a4KvbZJ82WDN16hbUP/HKqVyAxMZUm9u45MC/R1ZZu1Am7rN7TrQZ1iGdaph/HCSGEslYVzp9G4E8O+3R6P0bx5UWo6YJ1JXQItVrsIHYUbLfAeGVDRUJz77X6ivwIcOak/24LYCsFDyw/v6SQuI27MSQRTS5/MXy9QwJ/hFKUiG0KM7jaMEskqdg+TtE4j6nb7PFNYyvTiKygFDwVR0/ZBkDTB1a0UKuUo+Q6ZjwhT8PXRrT3/CEt4+WEOgsUZBwJ7Ub/OBrfxZBXSsKOm2G0zCl+A9UqF9KIxHWS5NSiZYKHEMoQ9/j2SxtOaYdmcPRFHbPhkvQgbuDzQdfhg==","691f8ca61c6b4dcbb0aeb5f4","691fba55498d92aeb756b445","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":35302.29999998212},{""page_index"":1,""viewing_time"":27195.90000000596},{""page_index"":2,""viewing_time"":15044},{""page_index"":3,""viewing_time"":37479.09999999404},{""page_index"":4,""viewing_time"":15187.90000000596},{""page_index"":5,""viewing_time"":15062.90000000596},{""page_index"":6,""viewing_time"":9167}]","","","","",NA,2025-11-21 01:14:34
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba55498d92aeb756b445","html-keyboard-response",7,609846,"0.0-6.0-1.0","qO1a4KvbZJ82WDN16hbUP/HKqVyAxMZUm9u45MC/R1ZZu1Am7rN7TrQZ1iGdaph/HCSGEslYVzp9G4E8O+3R6P0bx5UWo6YJ1JXQItVrsIHYUbLfAeGVDRUJz77X6ivwIcOak/24LYCsFDyw/v6SQuI27MSQRTS5/MXy9QwJ/hFKUiG0KM7jaMEskqdg+TtE4j6nb7PFNYyvTiKygFDwVR0/ZBkDTB1a0UKuUo+Q6ZjwhT8PXRrT3/CEt4+WEOgsUZBwJ7Ub/OBrfxZBXSsKOm2G0zCl+A9UqF9KIxHWS5NSiZYKHEMoQ9/j2SxtOaYdmcPRFHbPhkvQgbuDzQdfhg==","691f8ca61c6b4dcbb0aeb5f4","691fba55498d92aeb756b445","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,2025-11-21 01:14:34
"54334.29999998212","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fba55498d92aeb756b445","survey-multi-choice",8,664181,"0.0-7.0-0.0","qO1a4KvbZJ82WDN16hbUP/HKqVyAxMZUm9u45MC/R1ZZu1Am7rN7TrQZ1iGdaph/HCSGEslYVzp9G4E8O+3R6P0bx5UWo6YJ1JXQItVrsIHYUbLfAeGVDRUJz77X6ivwIcOak/24LYCsFDyw/v6SQuI27MSQRTS5/MXy9QwJ/hFKUiG0KM7jaMEskqdg+TtE4j6nb7PFNYyvTiKygFDwVR0/ZBkDTB1a0UKuUo+Q6ZjwhT8PXRrT3/CEt4+WEOgsUZBwJ7Ub/OBrfxZBXSsKOm2G0zCl+A9UqF9KIxHWS5NSiZYKHEMoQ9/j2SxtOaYdmcPRFHbPhkvQgbuDzQdfhg==","691f8ca61c6b4dcbb0aeb5f4","691fba55498d92aeb756b445","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,0,1","0,0,1,1,1,1,0,1,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""Contestants are always the same across contests."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""Each will get $20."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,2025-11-21 01:14:34
