"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","datapipe_meta.attributes.date_modified"
"1921","http://localhost:3000/index1?PROLIFIC_PID=REDACTED","external-html",0,2015,"0.0-0.0","Nlp9MqfbQvxR8QNpFHjZ+JIez7P3l2+9Hra8iqWXJhOqOGCUjhOXjbKJtdm/vupBjb0vsr0K1QxykSOvl7vVxv89iqp3QitJYCK/jZKetQs87j2G/dFBjvNj4tC2MQqDjM87IFf4BXG3L9GPMhLsMgKKmUdNri+iJ6CegtbcKffCDVhdVH8m10hxZWxBbGZNqEmTKCXagBukLUFP/icFuP+QCp13EMxry72aUHOWmL7il/CO6KCfbwkNoohwXPZur05p2DdkPhQOvwB8OD7sOd9QN3OYpwOH2/jGq99vPO/nRzYh75GQ5WyET1+xmx65poRsiNDxZn7PmDT9wy03bw==",NA,NA,"index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","","",NA,2025-11-18 23:26:31
"","http://localhost:3000/index1?PROLIFIC_PID=REDACTED","fullscreen",1,3688,"0.0-1.0","Nlp9MqfbQvxR8QNpFHjZ+JIez7P3l2+9Hra8iqWXJhOqOGCUjhOXjbKJtdm/vupBjb0vsr0K1QxykSOvl7vVxv89iqp3QitJYCK/jZKetQs87j2G/dFBjvNj4tC2MQqDjM87IFf4BXG3L9GPMhLsMgKKmUdNri+iJ6CegtbcKffCDVhdVH8m10hxZWxBbGZNqEmTKCXagBukLUFP/icFuP+QCp13EMxry72aUHOWmL7il/CO6KCfbwkNoohwXPZur05p2DdkPhQOvwB8OD7sOd9QN3OYpwOH2/jGq99vPO/nRzYh75GQ5WyET1+xmx65poRsiNDxZn7PmDT9wy03bw==",NA,NA,"index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,2025-11-18 23:26:31
"6816","http://localhost:3000/index1?PROLIFIC_PID=REDACTED","instructions",2,10505,"0.0-2.0","Nlp9MqfbQvxR8QNpFHjZ+JIez7P3l2+9Hra8iqWXJhOqOGCUjhOXjbKJtdm/vupBjb0vsr0K1QxykSOvl7vVxv89iqp3QitJYCK/jZKetQs87j2G/dFBjvNj4tC2MQqDjM87IFf4BXG3L9GPMhLsMgKKmUdNri+iJ6CegtbcKffCDVhdVH8m10hxZWxBbGZNqEmTKCXagBukLUFP/icFuP+QCp13EMxry72aUHOWmL7il/CO6KCfbwkNoohwXPZur05p2DdkPhQOvwB8OD7sOd9QN3OYpwOH2/jGq99vPO/nRzYh75GQ5WyET1+xmx65poRsiNDxZn7PmDT9wy03bw==",NA,NA,"index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":3010},{""page_index"":1,""viewing_time"":516},{""page_index"":2,""viewing_time"":416},{""page_index"":3,""viewing_time"":967},{""page_index"":4,""viewing_time"":968},{""page_index"":5,""viewing_time"":516},{""page_index"":6,""viewing_time"":423}]","","","","",NA,2025-11-18 23:26:31
"null","http://localhost:3000/index1?PROLIFIC_PID=REDACTED","html-keyboard-response",3,11509,"0.0-3.0","Nlp9MqfbQvxR8QNpFHjZ+JIez7P3l2+9Hra8iqWXJhOqOGCUjhOXjbKJtdm/vupBjb0vsr0K1QxykSOvl7vVxv89iqp3QitJYCK/jZKetQs87j2G/dFBjvNj4tC2MQqDjM87IFf4BXG3L9GPMhLsMgKKmUdNri+iJ6CegtbcKffCDVhdVH8m10hxZWxBbGZNqEmTKCXagBukLUFP/icFuP+QCp13EMxry72aUHOWmL7il/CO6KCfbwkNoohwXPZur05p2DdkPhQOvwB8OD7sOd9QN3OYpwOH2/jGq99vPO/nRzYh75GQ5WyET1+xmx65poRsiNDxZn7PmDT9wy03bw==",NA,NA,"index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,2025-11-18 23:26:31
"5954","http://localhost:3000/index1?PROLIFIC_PID=REDACTED","survey-multi-choice",4,17467,"0.0-4.0","Nlp9MqfbQvxR8QNpFHjZ+JIez7P3l2+9Hra8iqWXJhOqOGCUjhOXjbKJtdm/vupBjb0vsr0K1QxykSOvl7vVxv89iqp3QitJYCK/jZKetQs87j2G/dFBjvNj4tC2MQqDjM87IFf4BXG3L9GPMhLsMgKKmUdNri+iJ6CegtbcKffCDVhdVH8m10hxZWxBbGZNqEmTKCXagBukLUFP/icFuP+QCp13EMxry72aUHOWmL7il/CO6KCfbwkNoohwXPZur05p2DdkPhQOvwB8OD7sOd9QN3OYpwOH2/jGq99vPO/nRzYh75GQ5WyET1+xmx65poRsiNDxZn7PmDT9wy03bw==",NA,NA,"index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with one round."",""Q1"":""When a new contest begins."",""Q2"":""The box weight changes across contests, but not across rounds within each contest."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,2025-11-18 23:26:31
"1446","http://localhost:3000/index1?PROLIFIC_PID=REDACTED","html-button-response",5,18915,"0.0-5.0-1.0","Nlp9MqfbQvxR8QNpFHjZ+JIez7P3l2+9Hra8iqWXJhOqOGCUjhOXjbKJtdm/vupBjb0vsr0K1QxykSOvl7vVxv89iqp3QitJYCK/jZKetQs87j2G/dFBjvNj4tC2MQqDjM87IFf4BXG3L9GPMhLsMgKKmUdNri+iJ6CegtbcKffCDVhdVH8m10hxZWxBbGZNqEmTKCXagBukLUFP/icFuP+QCp13EMxry72aUHOWmL7il/CO6KCfbwkNoohwXPZur05p2DdkPhQOvwB8OD7sOd9QN3OYpwOH2/jGq99vPO/nRzYh75GQ5WyET1+xmx65poRsiNDxZn7PmDT9wy03bw==",NA,NA,"index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check.</p>","","","",0,2025-11-18 23:26:31
"4414","http://localhost:3000/index1?PROLIFIC_PID=REDACTED","survey-multi-choice",6,23333,"0.0-7.0-0.0","Nlp9MqfbQvxR8QNpFHjZ+JIez7P3l2+9Hra8iqWXJhOqOGCUjhOXjbKJtdm/vupBjb0vsr0K1QxykSOvl7vVxv89iqp3QitJYCK/jZKetQs87j2G/dFBjvNj4tC2MQqDjM87IFf4BXG3L9GPMhLsMgKKmUdNri+iJ6CegtbcKffCDVhdVH8m10hxZWxBbGZNqEmTKCXagBukLUFP/icFuP+QCp13EMxry72aUHOWmL7il/CO6KCfbwkNoohwXPZur05p2DdkPhQOvwB8OD7sOd9QN3OYpwOH2/jGq99vPO/nRzYh75GQ5WyET1+xmx65poRsiNDxZn7PmDT9wy03bw==",NA,NA,"index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,1,0,0,1","0,0,1,1,1,1,1,0,1,1,0,1","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with one round."",""Q1"":""When a new contest begins."",""Q2"":""The box weight changes across contests, but not across rounds within each contest."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,2025-11-18 23:26:31
