"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","encryptedProlificId","studyId","sessionId","expIndex","round1_outcomes","round2_outcomes","round3_outcomes","round1_o","round2_o","round3_o","round1_reward","round2_reward","round3_reward","success","view_history","stimulus","key_press","responses","question_order","button_pressed","datapipe_meta.attributes.date_modified"
"14279.89999999851","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb866f2f1214f7c5c6da4","external-html",0,14365,"0.0-0.0","LhENSR7T0Mi0VOVzKCy3G8ZR9rJpWq/Dzhc0t72WaK5nlFnzVBctLNA8SHmAAz535r9MYqmeTXGz2ed2VYviRQm4gTBYu7qclbakvPngBQF+/MJgzO5skF9eOYw7kD/6alPiUmmk7pCaTXQQO8jHGN87vZyo4K6pxstwdvNaO6QdjqJa43RuIS8PMxATjyLiDpccK6W5IX6/0rQk7Pp5qZkFjHGhJFAG53vvCBF9SYFlQpVLFAA7V7GdHwsx3KbA7whQ3M2IKsu+gI3e5nfCE+I1+TdLEZ/rqpZ9FgVd9NoDl+NrKAndy3uLbkz1ecyx4bV2DL8q8Vmg/kYflJHGrw==","691f8ca61c6b4dcbb0aeb5f4","691fb866f2f1214f7c5c6da4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","","",NA,2025-11-21 00:59:46
"","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb866f2f1214f7c5c6da4","fullscreen",1,24758,"0.0-1.0","LhENSR7T0Mi0VOVzKCy3G8ZR9rJpWq/Dzhc0t72WaK5nlFnzVBctLNA8SHmAAz535r9MYqmeTXGz2ed2VYviRQm4gTBYu7qclbakvPngBQF+/MJgzO5skF9eOYw7kD/6alPiUmmk7pCaTXQQO8jHGN87vZyo4K6pxstwdvNaO6QdjqJa43RuIS8PMxATjyLiDpccK6W5IX6/0rQk7Pp5qZkFjHGhJFAG53vvCBF9SYFlQpVLFAA7V7GdHwsx3KbA7whQ3M2IKsu+gI3e5nfCE+I1+TdLEZ/rqpZ9FgVd9NoDl+NrKAndy3uLbkz1ecyx4bV2DL8q8Vmg/kYflJHGrw==","691f8ca61c6b4dcbb0aeb5f4","691fb866f2f1214f7c5c6da4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"true","","","","","",NA,2025-11-21 00:59:46
"178882.90000000224","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb866f2f1214f7c5c6da4","instructions",2,203645,"0.0-2.0","LhENSR7T0Mi0VOVzKCy3G8ZR9rJpWq/Dzhc0t72WaK5nlFnzVBctLNA8SHmAAz535r9MYqmeTXGz2ed2VYviRQm4gTBYu7qclbakvPngBQF+/MJgzO5skF9eOYw7kD/6alPiUmmk7pCaTXQQO8jHGN87vZyo4K6pxstwdvNaO6QdjqJa43RuIS8PMxATjyLiDpccK6W5IX6/0rQk7Pp5qZkFjHGhJFAG53vvCBF9SYFlQpVLFAA7V7GdHwsx3KbA7whQ3M2IKsu+gI3e5nfCE+I1+TdLEZ/rqpZ9FgVd9NoDl+NrKAndy3uLbkz1ecyx4bV2DL8q8Vmg/kYflJHGrw==","691f8ca61c6b4dcbb0aeb5f4","691fb866f2f1214f7c5c6da4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","[{""page_index"":0,""viewing_time"":20626.300000000745},{""page_index"":1,""viewing_time"":18944.89999999851},{""page_index"":2,""viewing_time"":12734.900000002235},{""page_index"":3,""viewing_time"":43889.099999997765},{""page_index"":4,""viewing_time"":6615.60000000149},{""page_index"":5,""viewing_time"":9760.39999999851},{""page_index"":6,""viewing_time"":45816.10000000149},{""page_index"":5,""viewing_time"":2768},{""page_index"":6,""viewing_time"":17726.89999999851}]","","","","",NA,2025-11-21 00:59:46
"null","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb866f2f1214f7c5c6da4","html-keyboard-response",3,204649,"0.0-3.0","LhENSR7T0Mi0VOVzKCy3G8ZR9rJpWq/Dzhc0t72WaK5nlFnzVBctLNA8SHmAAz535r9MYqmeTXGz2ed2VYviRQm4gTBYu7qclbakvPngBQF+/MJgzO5skF9eOYw7kD/6alPiUmmk7pCaTXQQO8jHGN87vZyo4K6pxstwdvNaO6QdjqJa43RuIS8PMxATjyLiDpccK6W5IX6/0rQk7Pp5qZkFjHGhJFAG53vvCBF9SYFlQpVLFAA7V7GdHwsx3KbA7whQ3M2IKsu+gI3e5nfCE+I1+TdLEZ/rqpZ9FgVd9NoDl+NrKAndy3uLbkz1ecyx4bV2DL8q8Vmg/kYflJHGrw==","691f8ca61c6b4dcbb0aeb5f4","691fb866f2f1214f7c5c6da4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"",""," ","null","","",NA,2025-11-21 00:59:46
"38161.300000000745","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb866f2f1214f7c5c6da4","survey-multi-choice",4,242817,"0.0-4.0","LhENSR7T0Mi0VOVzKCy3G8ZR9rJpWq/Dzhc0t72WaK5nlFnzVBctLNA8SHmAAz535r9MYqmeTXGz2ed2VYviRQm4gTBYu7qclbakvPngBQF+/MJgzO5skF9eOYw7kD/6alPiUmmk7pCaTXQQO8jHGN87vZyo4K6pxstwdvNaO6QdjqJa43RuIS8PMxATjyLiDpccK6W5IX6/0rQk7Pp5qZkFjHGhJFAG53vvCBF9SYFlQpVLFAA7V7GdHwsx3KbA7whQ3M2IKsu+gI3e5nfCE+I1+TdLEZ/rqpZ9FgVd9NoDl+NrKAndy3uLbkz1ecyx4bV2DL8q8Vmg/kYflJHGrw==","691f8ca61c6b4dcbb0aeb5f4","691fb866f2f1214f7c5c6da4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with one round."",""Q1"":""When a new round starts."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,2025-11-21 00:59:46
"3902.5","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb866f2f1214f7c5c6da4","html-button-response",5,246726,"0.0-5.0-1.0","LhENSR7T0Mi0VOVzKCy3G8ZR9rJpWq/Dzhc0t72WaK5nlFnzVBctLNA8SHmAAz535r9MYqmeTXGz2ed2VYviRQm4gTBYu7qclbakvPngBQF+/MJgzO5skF9eOYw7kD/6alPiUmmk7pCaTXQQO8jHGN87vZyo4K6pxstwdvNaO6QdjqJa43RuIS8PMxATjyLiDpccK6W5IX6/0rQk7Pp5qZkFjHGhJFAG53vvCBF9SYFlQpVLFAA7V7GdHwsx3KbA7whQ3M2IKsu+gI3e5nfCE+I1+TdLEZ/rqpZ9FgVd9NoDl+NrKAndy3uLbkz1ecyx4bV2DL8q8Vmg/kYflJHGrw==","691f8ca61c6b4dcbb0aeb5f4","691fb866f2f1214f7c5c6da4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","<p> Oops! You did not pass the comprehension check. <b>Please note that you have only 1 attempt(s) left.</b> </p>","","","",0,2025-11-21 00:59:46
"18295.300000000745","https://psyc-201.github.io/xiang2023/exp/index1.html?PROLIFIC_PID=REDACTED&STUDY_ID=691f8ca61c6b4dcbb0aeb5f4&SESSION_ID=691fb866f2f1214f7c5c6da4","survey-multi-choice",6,265029,"0.0-7.0-0.0","LhENSR7T0Mi0VOVzKCy3G8ZR9rJpWq/Dzhc0t72WaK5nlFnzVBctLNA8SHmAAz535r9MYqmeTXGz2ed2VYviRQm4gTBYu7qclbakvPngBQF+/MJgzO5skF9eOYw7kD/6alPiUmmk7pCaTXQQO8jHGN87vZyo4K6pxstwdvNaO6QdjqJa43RuIS8PMxATjyLiDpccK6W5IX6/0rQk7Pp5qZkFjHGhJFAG53vvCBF9SYFlQpVLFAA7V7GdHwsx3KbA7whQ3M2IKsu+gI3e5nfCE+I1+TdLEZ/rqpZ9FgVd9NoDl+NrKAndy3uLbkz1ecyx4bV2DL8q8Vmg/kYflJHGrw==","691f8ca61c6b4dcbb0aeb5f4","691fb866f2f1214f7c5c6da4","index1","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail","<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift,<span style='color:red'>Fail,<span style='color:green'>Lift,<span style='color:green'>Lift","0,0,1,1,0,0,0,0,0,1,1,0","0,0,1,1,1,1,0,1,1,1,1,0","0,1,1,0,1,1",10,20,20,"","","","","{""Q0"":""It consists of multiple contests, each contest with three rounds."",""Q1"":""Contestants are always the same across contests."",""Q2"":""The box weight always stays the same (equivalent to strength of 5)."",""Q3"":""They will split the $20, that is $10 for each."",""Q4"":""How close my guesses are to the actual outcome.""}","[0,1,2,3,4]",NA,2025-11-21 00:59:46
